::1 - - [07/Feb/2022:04:19:27 +0000] "GET / HTTP/1.1" 200 6398
::1 - - [07/Feb/2022:04:19:28 +0000] "GET /css/bootstrap.min.css HTTP/1.1" 200 109518
::1 - - [07/Feb/2022:04:19:28 +0000] "GET /css/styles.css HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:19:28 +0000] "GET /js/bootstrap.min.js HTTP/1.1" 200 31819
::1 - - [07/Feb/2022:04:19:29 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [07/Feb/2022:04:19:29 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [07/Feb/2022:04:19:33 +0000] "GET /category HTTP/1.1" 200 7896
::1 - - [07/Feb/2022:04:19:33 +0000] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:19:33 +0000] "GET /css/styles.css HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:19:33 +0000] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:19:34 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [07/Feb/2022:04:19:34 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [07/Feb/2022:04:20:27 +0000] "GET /products HTTP/1.1" 200 50448
::1 - - [07/Feb/2022:04:20:28 +0000] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:20:28 +0000] "GET /css/styles.css HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:20:28 +0000] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:20:29 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [07/Feb/2022:04:20:29 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
::1 - - [07/Feb/2022:04:21:16 +0000] "GET /category HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:21:17 +0000] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:21:17 +0000] "GET /css/styles.css HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:21:17 +0000] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
::1 - - [07/Feb/2022:04:21:18 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 178
::1 - - [07/Feb/2022:04:21:18 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 177
